Batch 311 loss: 96694.976562
Batch 312 loss: 165276.000000
Batch 313 loss: 102305.148438
Batch 314 loss: 40012.664062
Batch 315 loss: 78708.101562
Batch 316 loss: 291699.062500
Batch 317 loss: 1849937.625000
Batch 318 loss: 416321.062500
Batch 319 loss: 758202.437500
Batch 320 loss: 365077.531250
Batch 321 loss: 108763.453125
Batch 322 loss: 157452.375000
Batch 323 loss: 2016699.625000
Batch 324 loss: 55564.273438
Batch 325 loss: 53646.367188
Batch 326 loss: 467905.843750
Batch 327 loss: 1378617.875000
Batch 328 loss: 124405.312500
Batch 329 loss: 72142.640625
Batch 330 loss: 192159.281250
Batch 331 loss: 80078.390625
Batch 332 loss: 203187.781250
Batch 333 loss: 287410.812500
Batch 334 loss: 121608.546875
Batch 335 loss: 94990.648438
Batch 336 loss: 83066.648438
Batch 337 loss: 335449.906250
Batch 338 loss: 204423.765625
Batch 339 loss: 144815.156250
Batch 340 loss: 53012.082031
Batch 341 loss: 128710.312500
Batch 342 loss: 101442.375000
Batch 343 loss: 19862.830078
Batch 344 loss: 213564.703125
Batch 345 loss: 146560.515625
Batch 346 loss: 237521.406250
Batch 347 loss: 136609.703125
Batch 348 loss: 328723.625000
Batch 349 loss: 193069.593750
Batch 350 loss: 61746.355469
Batch 351 loss: 52560.574219
Batch 352 loss: 1578326.500000
Batch 353 loss: 1410278.125000
Batch 354 loss: 328158.343750
Batch 355 loss: 241294.843750
Batch 356 loss: 121829.796875
Batch 357 loss: 107215.148438
Batch 358 loss: 149314.062500
Batch 359 loss: 140189.406250
Batch 360 loss: 255240.453125
Batch 361 loss: 412851.437500
Batch 362 loss: 212252.406250
Batch 363 loss: 210370.046875
Batch 364 loss: 99111.359375
Batch 365 loss: 240809.156250
Batch 366 loss: 211084.843750
Batch 367 loss: 2094643.375000
Batch 368 loss: 2224480.500000
Batch 369 loss: 171011.750000
Batch 370 loss: 209030.890625
Batch 371 loss: 124562.078125
Batch 372 loss: 120202.500000
Batch 373 loss: 402761.437500
Batch 374 loss: 66108.523438
Batch 375 loss: 88495.062500
Batch 376 loss: 171063.984375
Batch 377 loss: 113839.296875
Batch 378 loss: 266788.562500
Batch 379 loss: 62551.781250
Batch 380 loss: 1437296.625000
Batch 381 loss: 138141.656250
Batch 382 loss: 83898.937500
Batch 383 loss: 289455.312500
Batch 384 loss: 267658.281250
Batch 385 loss: 2357993.000000
Batch 386 loss: 156100.390625
Batch 387 loss: 1422960.750000
Batch 388 loss: 174697.593750
Batch 389 loss: 1695677.625000
Batch 390 loss: 65197.835938
Batch 391 loss: 106564.140625
Batch 392 loss: 103343.648438
Batch 393 loss: 1436392.875000
Batch 394 loss: 120583.609375
Batch 395 loss: 148562.406250
Batch 396 loss: 156379.468750
Batch 397 loss: 66202.945312
Batch 398 loss: 188987.234375
Batch 399 loss: 303473.156250
Batch 400 loss: 1861388.000000
Batch 401 loss: 187462.296875
Batch 402 loss: 308559.843750
Batch 403 loss: 214230.796875
Batch 404 loss: 1936548.000000
Batch 405 loss: 1653308.750000
Batch 406 loss: 2179645.000000
Batch 407 loss: 376826.593750
Batch 408 loss: 119877.773438
Batch 409 loss: 258683.468750
Batch 410 loss: 135159.875000
Batch 411 loss: 107518.640625
Batch 412 loss: 198289.140625
Batch 413 loss: 120811.500000
Batch 414 loss: 292115.062500
Batch 415 loss: 138897.671875
Batch 416 loss: 137703.968750
Batch 417 loss: 112709.515625
Batch 418 loss: 1792302.375000
Batch 419 loss: 86332.796875
Batch 420 loss: 190852.546875
Batch 421 loss: 1802041.375000
Batch 422 loss: 69038.078125
Batch 423 loss: 121076.210938
Batch 424 loss: 89517.937500
Batch 425 loss: 105522.476562
Batch 426 loss: 154135.906250
Batch 427 loss: 137234.390625
Batch 428 loss: 63803.281250
Batch 429 loss: 1374429.375000
Batch 430 loss: 1478481.250000
Batch 431 loss: 152314.218750
Batch 432 loss: 227783.593750
Batch 433 loss: 141145.031250
Batch 434 loss: 194848.968750
Batch 435 loss: 3211126.500000
Batch 436 loss: 164877.484375
Batch 437 loss: 302470.687500
Batch 438 loss: 104014.765625
Batch 439 loss: 18444.941406
Batch 440 loss: 181748.031250
Batch 441 loss: 220439.500000
Batch 442 loss: 155958.562500
Batch 443 loss: 52449.679688
Batch 444 loss: 256482.281250
Batch 445 loss: 75022.171875
Batch 446 loss: 77493.859375
Batch 447 loss: 1678590.625000
Batch 448 loss: 170404.437500
Batch 449 loss: 1857323.750000
Batch 450 loss: 87434.234375
Batch 451 loss: 118287.390625
Batch 452 loss: 109881.890625
